,2000 1% Census OCC code,2000 5% Census OCC code,2000-2004 ACS OCC code,2005-2009 ACS/PRCS OCC code,2010-2012 ACS/PRCS OCC code,2013-2017 ACS/PRCS OCC code,2018 ACS/PRCS OCC code,2000 1% Census OCCSOC code,2000 5% Census OCCSOC code,2000-2004 ACS OCCSOC code,2005-2009 ACS/PRCS OCCSOC code,2010-2012 ACS/PRCS OCCSOC,2013-2017 ACS/PRCS OCCSOC code,2018 Onward ACS/PRCS,Occupation title
,323,323,3230,3230,3230,3230,3230,291127,291127,291127,291127,291127,291127,291127,Speech-Language Pathologists
,324,324,3240,3240,,,,291129,291129,291129,291129,,,,"Therapists, All Other"
,,,,,3245,3245,,,,,,29112X,29112X,,"Other Therapists, Including Exercise Physiologists"
,,,,,,,3245,,,,,,,29112X,Other Therapists
,325,325,3250,3250,3250,3250,3250,291131,291131,291131,291131,291131,291131,291131,Veterinarians
,,,,,3255,3255,3255,,,,,291141,291141,291141,Registered Nurses
,,,,,3256,3256,3256,,,,,291151,291151,291151,Nurse Anesthetists
,,,,,3258,3258,3258,,,,,2911XX,2911XX,2911XX,Nurse Practitioners and Nurse Midwives
,,,,,,,3261,,,,,,,291291,Acupuncturists
,326,326,3260,3260,3260,3260,,291199,291199,291199,291199,291199,291199,,"Health Diagnosing and Treating Practitioners, All Other"
,,,,,,,3270,,,,,,,291299,"Healthcare Diagnosing Or Treating Practitioners, All Other"
,330,330,3300,3300,3300,3300,3300,292010,292010,292010,292010,292010,292010,292010,Clinical Laboratory Technologists and Technicians
,331,331,3310,3310,3310,3310,,292021,292021,292021,292021,292021,292021,,Dental Hygienists
,,,,,,,3310,,,,,,,291292,Dental Hygienists
,332,332,3320,3320,3320,3320,,292030,292030,292030,292030,292030,292030,,Diagnostic Related Technologists and Technicians
,,,,,,,3321,,,,,,,292031,Cardiovascular Technologists And Technicians
,,,,,,,3322,,,,,,,292032,Diagnostic Medical Sonographers
,,,,,,,3323,,,,,,,292034,Radiologic Technologists And Technicians
,,,,,,,3324,,,,,,,292035,Magnetic Resonance Imaging Technologists
,,,,,,,3330,,,,,,,29203X,Nuclear Medicine Technologists And Medical Dosimetrists
,340,340,3400,3400,3400,3400,,292041,292041,292041,292041,292041,292041,,Emergency Medical Technicians and Paramedics
,,,,,,,3401,,,,,,,292042,Emergency Medical Technicians
,,,,,,,3402,,,,,,,292043,Paramedics
,341,341,3410,3410,,,,292050,292050,292050,292050,,,,Health Diagnosing and Treating Practitioner Support Technicians
,,,,,3420,3420,,,,,,292050,292050,,Health Practitioner Support Technologists and Technicians
,,,,,,,3421,,,,,,,292052,Pharmacy Technicians
,,,,,,,3422,,,,,,,292053,Psychiatric Technicians
,,,,,,,3423,,,,,,,292055,Surgical Technologists
,,,,,,,3424,,,,,,,292056,Veterinary Technologists And Technicians
,,,,,,,3430,,,,,,,29205X,Dietetic Technicians And Ophthalmic Medical Technicians
,350,350,3500,3500,3500,3500,3500,292061,292061,292061,292061,292061,292061,292061,Licensed Practical and Licensed Vocational Nurses
,351,351,3510,3510,3510,3510,,292071,292071,292071,292071,292071,292071,,Medical Records and Health Information Technicians
,,,,,,,3515,,,,,,,292072,Medical Records Specialists
,352,352,3520,3520,3520,3520,3520,292081,292081,292081,292081,292081,292081,292081,"Opticians, Dispensing"
,353,353,3530,3530,,,,292090,292090,292090,292090,,,,Miscellaneous Health Technologists and Technicians
,,,,,3535,3535,,,,,,292090,292090,,Miscellaneous Health Technologists and Technicians
,,,,,,,3545,,,,,,,292090,Miscellaneous Health Technologists and Technicians
,354,354,3540,3540,3540,3540,,299000,299000,299000,299000,299000,299000,,Other Healthcare Practitioners and Technical Occupations
,,,,,,,3550,,,,,,,299000,Other Healthcare Practitioners and Technical Occupations
SERVICE OCCUPATIONS:,,,,,,,,,,,,,,,
Healthcare Support Occupations:,,,,,,,,,,,,,,,
,360,360,3600,3600,3600,3600,,311010,311010,311010,311010,311010,311010,,"Nursing, Psychiatric, and Home Health Aides"
,,,,,,,3601,,,,,,,311121,Home Health Aides
,,,,,,,3602,,,,,,,311122,Personal Care Aides
,,,,,,,3603,,,,,,,311131,Nursing Assistants
,,,,,,,3605,,,,,,,31113X,Orderlies And Psychiatric Aides
,361,361,3610,3610,3610,3610,3610,312010,312010,312010,312010,312010,312010,312010,Occupational Therapy Assistants and Aides
,362,362,3620,3620,3620,3620,3620,312020,312020,312020,312020,312020,312020,312020,Physical Therapist Assistants and Aides
,363,363,3630,3630,3630,3630,3630,319011,319011,319011,319011,319011,319011,319011,Massage Therapists
,364,364,3640,3640,3640,3640,3640,319091,319091,319091,319091,319091,319091,319091,Dental Assistants
,,,,,3645,3645,3645,,,,,319092,319092,319092,Medical Assistants
,,,,,3646,3646,3646,,,,,319094,319094,319094,Medical Transcriptionists
,,,,,3647,3647,3647,,,,,319095,319095,319095,Pharmacy Aides
,,,,,3648,3648,3648,,,,,319096,319096,319096,Veterinary Assistants and Laboratory Animal Caretakers
,,,,,3649,3649,3649,,,,,319097,319097,319097,Phlebotmists
,365,365,3650,3650,,,,31909X,31909X,31909X,31909X,,,,"Medical Assistants and Other Healthcare Support Occupations, except dental assistants"
,,,,,3655,3655,,,,,,31909X,31909X,,"Healthcare Support Workers, All Other, Including Medical Equipment Preparers"
,,,,,,,3655,,,,,,,31909X,Other Healthcare Support Workers
Protective Service Occupations:,,,,,,,,,,,,,,,
,370,370,3700,3700,3700,3700,3700,331011,331011,331011,331011,331011,331011,331011,First-Line Supervisors of Correctional Officers
,371,371,3710,3710,3710,3710,3710,331012,331012,331012,331012,331012,331012,331012,First-Line Supervisors of Police and Detectives
,372,372,3720,3720,3720,3720,3720,331021,331021,331021,331021,331021,331021,331021,First-Line Supervisors of Fire Fighting and Prevention Workers
,,,,,,,3725,,,,,,,331090,"Miscellaneous First-Line Supervisors, Protective Service Workers"
,373,373,3730,3730,3730,3730,,331099,331099,331099,331099,331099,331099,,"First-Line Supervisors of Protective Service Workers, All Other"
,374,374,3740,3740,3740,3740,3740,332011,332011,332011,332011,332011,332011,332011,Firefighters
,375,375,3750,3750,3750,3750,3750,332020,332020,332020,332020,332020,332020,332020,Fire Inspectors
,380,380,3800,3800,3800,3800,,333010,333010,333010,333010,333010,333010,,"Bailiffs, Correctional Officers, and Jailers"
,,,,,,,3801,,,,,,,333011,Bailiffs
,,,,,,,3802,,,,,,,333012,Correctional Officers And Jailers
,382,382,3820,3820,3820,3820,3820,333021,333021,333021,333021,333021,333021,333021,Detectives and Criminal Investigators
,383,,3830,,,,,333031,,333031,,,,,Fish and Game Wardens
,384,,3840,,,,,333041,,333041,,,,,Parking enforcement workers
,,384,,3840,3840,3840,,,3330XX,,3330XX,3330XX,3330XX,,Miscellaneous law enforcement workers
,,,,,,,3840,,,,,,,3330XX,Fish And Game Wardens And Parking Enforcement Officers
,385,385,3850,,,,,333051,,333051,,,,,Police and Sheriff's Patrol Officers
,,,,3850,3850,3850,,,333050,,333050,333050,333050,,Police Officers
,386,,3860,,,,,333052,,333052,,,,,Transit and Railroad Police
,,,,,,,3870,,,,,,,333050,Police Officers
,390,390,,3900,3900,3900,3900,339011,339011,,339011,339011,339011,339011,Animal Control Workers
,391,391,3910,3910,3910,3910,3910,339021,339021,339021,339021,339021,339021,339021,Private Detectives and Investigators
,392,392,3920,3920,,,,339030,339030,339030,339030,,,,Security Guards and Gaming Surveillance Officers
,,,,,3930,3930,3930,,,,,339030,339030,339030,Security Guards and Gaming Surveillance Officers
,394,394,3940,3940,3940,3940,,339091,339091,339091,339091,339091,339091,,Crossing Guards
,,,,,,,3940,,,,,,,339091,Crossing Guards And Flaggers
,,,,,3945,3945,3945,,,,,339093,339093,339093,Transportation Security Screeners
,,,,,,,3946,,,,,,,339094,School Bus Monitors
,,,3950,,,,,,,33909X,,,,,"Miscellaneous protective service workers, except crossing guards, and including animal control workers"
,395,395,,3950,,,,33909X,33909X,,33909X,,,,Lifeguards and Other Protective Service Workers
,,,,,3955,3955,,,,,,33909X,33909X,,"Lifeguards and Other Recreational, and All Other Protective Service Workers"
,,,,,,,3960,,,,,,,33909X,Other Protective Service Workers
Food Preparation and Serving Related Occupations:,,,,,,,,,,,,,,,
,400,400,4000,4000,4000,4000,4000,351011,351011,351011,351011,351011,351011,351011,Chefs and Head Cooks
,401,401,4010,4010,4010,4010,4010,351012,351012,351012,351012,351012,351012,351012,First-Line Supervisors of Food Preparation and Serving Workers
,402,402,4020,4020,4020,4020,4020,352010,352010,352010,352010,352010,352010,352010,Cooks
,403,403,4030,4030,4030,4030,4030,352021,352021,352021,352021,352021,352021,352021,Food Preparation Workers
,404,404,4040,4040,4040,4040,4040,353011,353011,353011,353011,353011,353011,353011,Bartenders
,405,405,4050,4050,4050,4050,,353021,353021,353021,353021,353021,353021,,"Combined Food Preparation and Serving Workers, Including Fast Food"
,406,406,4060,4060,4060,4060,,353022,353022,353022,353022,353022,353022,,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop"
,,,,,,,4055,,,,,,,353023,Fast Food And Counter Workers
,411,411,4110,4110,4110,4110,4110,353031,353031,353031,353031,353031,353031,353031,Waiters and Waitresses
,412,412,4120,4120,4120,4120,4120,353041,353041,353041,353041,353041,353041,353041,"Food Servers, Nonrestaurant"
,413,,4130,,,,4130,359011,,359011,,,,359011,Dining Room and Cafeteria Attendants and Bartender Helpers
,,413,,4130,4130,4130,,,3590XX,,3590XX,3590XX,3590XX,,Miscellaneous food preparation and serving related workers including dining room and cafeteria attendants and bartender helpers
,414,414,4140,4140,4140,4140,4140,359021,359021,359021,359021,359021,359021,359021,Dishwashers
,415,415,4150,4150,4150,4150,4150,359031,359031,359031,359031,359031,359031,359031,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop"
,416,,4160,,,,4160,359099,,359099,,,,359099,"Food Preparation and Serving Related Workers, All Other"
Building and Grounds Cleaning and Maintenance Occupations:,,,,,,,,,,,,,,,
,420,420,4200,4200,4200,4200,4200,371011,371011,371011,371011,371011,371011,371011,First-Line Supervisors of Housekeeping and Janitorial Workers
,421,421,4210,4210,4210,4210,4210,371012,371012,371012,371012,371012,371012,371012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
,422,422,4220,4220,4220,4220,4220,37201X,37201X,37201X,37201X,37201X,37201X,37201X,Janitors and Building Cleaners
,423,423,4230,4230,4230,4230,4230,372012,372012,372012,372012,372012,372012,372012,Maids and Housekeeping Cleaners
,424,424,4240,4240,4240,4240,4240,372021,372021,372021,372021,372021,372021,372021,Pest Control Workers
,425,425,4250,4250,4250,4250,,373010,373010,373010,373010,373010,373010,,Grounds Maintenance Workers
,,,,,,,4251,,,,,,,373011,Landscaping And Groundskeeping Workers
,,,,,,,4252,,,,,,,373013,Tree Trimmers And Pruners
,,,,,,,4255,,,,,,,37301X,Other Grounds Maintenance Workers
Personal Care and Service Occupations:,,,,,,,,,,,,,,,
,,,,,,,4330,,,,,,,391000,Supervisors of Personal Care And Service Workers
,430,430,4300,4300,4300,4300,,391010,391010,391010,391010,391010,391010,,First-Line Supervisors of Gaming Workers
,432,432,4320,4320,4320,4320,,391021,391021,391021,391021,391021,391021,,First-Line Supervisors of Personal Service Workers
,434,434,4340,4340,4340,4340,4340,392011,392011,392011,392011,392011,392011,392011,Animal Trainers
,435,435,4350,4350,4350,4350,,392021,392021,392021,392021,392021,392021,,Nonfarm Animal Caretakers
,,,,,,,4350,,,,,,,392021,Animal Caretakers
,440,440,4400,4400,4400,4400,,393010,393010,393010,393010,393010,393010,,Gaming Services Workers
,,,,,,,4400,,,,,,,393010,Gambling Services Workers
,441,441,,4410,4410,4410,,393021,393021,,393021,393021,393021,,Motion Picture Projectionists
,442,442,4420,4420,4420,4420,4420,393031,393031,393031,393031,393031,393031,393031,"Ushers, Lobby Attendants, and Ticket Takers"
,443,443,4430,4430,4430,4430,,393090,393090,393090,393090,393090,393090,,Miscellaneous Entertainment Attendants and Related Workers
,,,,,,,4435,,,,,,,3930XX,Other Entertainment Attendants And Related Workers
,446,446,4460,4460,,,,394000,394000,394000,394000,,,,Funeral Service Workers
,,,,,4460,4460,,,,,,3940XX,3940XX,,Embalmers and Funeral Attendants
,,,,,,,4461,,,,,,,3940XX,"Embalmers, Crematory Operators, And Funeral Attendants"
,,,,,4465,4465,,,,,,394031,394031,,"Morticians, Undertakers, and Funeral Directors"
,,,,,,,4465,,,,,,,394031,"Morticians, Undertakers, And Funeral Arrangers"
,450,450,4500,4500,4500,4500,4500,395011,395011,395011,395011,395011,395011,395011,Barbers
,451,451,4510,4510,4510,4510,4510,395012,395012,395012,395012,395012,395012,395012,"Hairdressers, Hairstylists, and Cosmetologists"
,452,452,4520,4520,4520,4520,,395090,395090,395090,395090,395090,395090,,Miscellaneous Personal Appearance Workers
,,,,,,,4521,,,,,,,395092,Manicurists and Pedicurists
,,,,,,,4522,,,,,,,395094,Skincare Specialists
,,,,,,,4525,,,,,,,39509X,Other Personal Appearance Workers
,453,453,4530,4530,4530,4530,4530,396010,396010,396010,396010,396010,396010,396010,"Baggage Porters, Bellhops, and Concierges"
,454,454,4540,4540,4540,4540,4540,396020,396020,396020,396020,397010,397010,397010,Tour and Travel Guides
,455,455,4550,4550,,,,396030,396030,396030,396030,,,,Transportation Attendants
,460,460,4600,4600,4600,4600,4600,399011,399011,399011,399011,399011,399011,399011,Childcare Workers
,461,461,4610,4610,4610,4610,,399021,399021,399021,399021,399021,399021,,Personal Care Aides
,462,462,4620,4620,4620,4620,,399030,399030,399030,399030,399030,399030,,Recreation and Fitness Workers
,,,,,,,4621,,,,,,,399031,Exercise Trainers And Group Fitness Instructors
,,,,,,,4622,,,,,,,399032,Recreation Workers
,464,464,4640,4640,4640,4640,4640,399041,399041,399041,399041,399041,399041,399041,Residential Advisors
,465,465,4650,4650,4650,4650,,399099,399099,399099,399099,399099,399099,,"Personal Care and Service Workers, All Other"
,,,,,,,4655,,,,,,,399099,"Personal Care and Service Workers, All Other"
SALES AND OFFICE OCCUPATIONS:,,,,,,,,,,,,,,,
Sales and Related Occupations:,,,,,,,,,,,,,,,
,470,470,4700,4700,4700,4700,4700,411011,411011,411011,411011,411011,411011,411011,First-Line Supervisors of Retail Sales Workers
,471,471,4710,4710,4710,4710,4710,411012,411012,411012,411012,411012,411012,411012,First-Line Supervisors of Non-Retail Sales
,472,472,4720,4720,4720,4720,4720,412010,412010,412010,412010,412010,412010,412010,Cashiers
,474,474,4740,4740,4740,4740,4740,412021,412021,412021,412021,412021,412021,412021,Counter and Rental Clerks
,475,475,4750,4750,4750,4750,4750,412022,412022,412022,412022,412022,412022,412022,Parts Salespersons
,476,476,4760,4760,4760,4760,4760,412031,412031,412031,412031,412031,412031,412031,Retail Salespersons
,480,480,4800,4800,4800,4800,4800,413011,413011,413011,413011,413011,413011,413011,Advertising Sales Agents
,481,481,4810,4810,4810,4810,4810,413021,413021,413021,413021,413021,413021,413021,Insurance Sales Agents
,482,482,4820,4820,4820,4820,4820,413031,413031,413031,413031,413031,413031,413031,"Securities, Commodities, and Financial Services Sales Agents"
,483,483,4830,4830,4830,4830,4830,413041,413041,413041,413041,413041,413041,413041,Travel Agents
,484,484,4840,4840,4840,4840,,413099,413099,413099,413099,413099,413099,,"Sales Representatives, Services, All Other"
,485,485,,,,,4840,,,,,,,413091,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel"
,,,4850,4850,4850,4850,4850,414010,414010,414010,414010,414010,414010,414010,"Sales Representatives, Wholesale and Manufacturing"
,490,490,4900,4900,4900,4900,4900,419010,419010,419010,419010,419010,419010,419010,"Models, Demonstrators, and Product Promoters"
,492,492,4920,4920,4920,4920,4920,419020,419020,419020,419020,419020,419020,419020,Real Estate Brokers and Sales Agents
,493,493,4930,4930,4930,4930,4930,419031,419031,419031,419031,419031,419031,419031,Sales Engineers
,494,494,4940,4940,4940,4940,4940,419041,419041,419041,419041,419041,419041,419041,Telemarketers
,495,495,4950,4950,4950,4950,4950,419091,419091,419091,419091,419091,419091,419091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
,496,496,4960,4960,,,,419099,419099,419099,419099,,,,"Sales and Related Workers, All Other"
,,,,,4965,4965,4965,,,,,419099,419099,419099,"Sales and Related Workers, All Other"
Office and Administrative Support Occupations:,,,,,,,,,,,,,,,
,500,500,5000,5000,5000,5000,5000,431011,431011,431011,431011,431011,431011,431011,First-Line Supervisors of Office and Administrative Support Workers
,501,501,5010,5010,5010,5010,5010,432011,432011,432011,432011,432011,432011,432011,"Switchboard Operators, Including Answering Service"
,502,502,5020,5020,5020,5020,5020,432021,432021,432021,432021,432021,432021,432021,Telephone Operators
,503,503,5030,5030,5030,5030,,432099,432099,432099,432099,432099,432099,,"Communications Equipment Operators, All Other"
,,,,,,,5040,,,,,,,432099,"Communications Equipment Operators, All Other"
,510,510,5100,5100,5100,5100,5100,433011,433011,433011,433011,433011,433011,433011,Bill and Account Collectors
,511,511,5110,5110,5110,5110,5110,433021,433021,433021,433021,433021,433021,433021,Billing and Posting Clerks
,512,512,5120,5120,5120,5120,5120,433031,433031,433031,433031,433031,433031,433031,"Bookkeeping, Accounting, and Auditing Clerks"
,513,513,5130,5130,5130,5130,,433041,433041,433041,433041,433041,433041,,Gaming Cage Workers
,514,514,5140,5140,5140,5140,5140,433051,433051,433051,433051,433051,433051,433051,Payroll and Timekeeping Clerks
,515,515,5150,5150,5150,5150,5150,433061,433061,433061,433061,433061,433061,433061,Procurement Clerks
,516,516,5160,5160,5160,5160,5160,433071,433071,433071,433071,433071,433071,433071,Tellers
,,,,,5165,5165,,,,,,433099,433099,,"Financial Clerks, All Other"
,,,,,,,5165,,,,,,,4330XX,Other Financial Clerks
,520,520,5200,5200,5200,5200,,434011,434011,434011,434011,434011,434011,,Brokerage Clerks
,521,,5210,,,,,434021,,434021,,,,,Correspondence Clerks
,522,522,5220,5220,5220,5220,5220,434031,434031,434031,434031,434031,434031,434031,"Court, Municipal, and License Clerks"
,523,523,5230,5230,5230,5230,5230,434041,434041,434041,434041,434041,434041,434041,"Credit Authorizers, Checkers, and Clerks"
,524,524,5240,5240,5240,5240,5240,434051,434051,434051,434051,434051,434051,434051,Customer Service Representatives
,525,525,5250,5250,5250,5250,5250,434061,434061,434061,434061,434061,434061,434061,"Eligibility Interviewers, Government Programs"
,526,526,5260,5260,5260,5260,5260,434071,434071,434071,434071,434071,434071,434071,File Clerks
,530,530,5300,5300,5300,5300,5300,434081,434081,434081,434081,434081,434081,434081,"Hotel, Motel, and Resort Desk Clerks"
,531,531,5310,5310,5310,5310,5310,434111,434111,434111,434111,434111,434111,434111,"Interviewers, Except Eligibility and Loan"
,532,532,5320,5320,5320,5320,5320,434121,434121,434121,434121,434121,434121,434121,"Library Assistants, Clerical"
,533,533,5330,5330,5330,5330,5330,434131,434131,434131,434131,434131,434131,434131,Loan Interviewers and Clerks
,534,534,5340,5340,5340,5340,5340,434141,434141,434141,434141,434141,434141,434141,New Account Clerks
,535,,5350,,,,,434151,,434151,,,,,Order Clerks
,,535,,5350,5350,5350,5350,,434XXX,,434XXX,434XXX,434XXX,434XXX,Correspondent clerks and order clerks
,536,536,5360,5360,5360,5360,5360,434161,434161,434161,434161,434161,434161,434161,"Human Resources Assistants, Except Payroll and Timekeeping"
,540,540,5400,5400,5400,5400,5400,434171,434171,434171,434171,434171,434171,434171,Receptionists and Information Clerks
,541,541,5410,5410,5410,5410,5410,434181,434181,434181,434181,434181,434181,434181,Reservation and Transportation Ticket Agents and Travel Clerks
,542,542,5420,5420,5420,5420,,434199,434199,434199,434199,434199,434199,,"Information and Record Clerks, All Other"
,,,,,,,5420,,,,,,,434YYY,Other Information And Records Clerks
,550,550,5500,5500,5500,5500,5500,435011,435011,435011,435011,435011,435011,435011,Cargo and Freight Agents
,551,551,5510,5510,5510,5510,5510,435021,435021,435021,435021,435021,435021,435021,Couriers and Messengers
,552,552,5520,5520,5520,5520,,435030,435030,435030,435030,435030,435030,,Dispatchers
,,,,,,,5521,,,,,,,435031,Public Safety Telecommunicators
,,,,,,,5522,,,,,,,435032,"Dispatchers, Except Police, Fire, And Ambulance"
,553,553,5530,5530,5530,5530,5530,435041,435041,435041,435041,435041,435041,435041,"Meter Readers, Utilities"
,554,554,5540,5540,5540,5540,5540,435051,435051,435051,435051,435051,435051,435051,Postal Service Clerks
,555,555,5550,5550,5550,5550,5550,435052,435052,435052,435052,435052,435052,435052,Postal Service Mail Carriers
,556,556,5560,5560,5560,5560,5560,435053,435053,435053,435053,435053,435053,435053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
,560,560,5600,5600,5600,5600,5600,435061,435061,435061,435061,435061,435061,435061,"Production, Planning, and Expediting Clerks"
,561,561,5610,5610,5610,5610,,435071,435071,435071,435071,435071,435071,,"Shipping, Receiving, and Traffic Clerks"
,,,,,,,5610,,,,,,,435071,"Shipping, receiving, and inventory clerks"
,562,562,5620,5620,5620,5620,,435081,435081,435081,435081,435081,435081,,Stock Clerks and Order Fillers
,563,563,5630,5630,5630,5630,5630,435111,435111,435111,435111,435111,435111,435111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
,570,570,5700,5700,5700,5700,,436010,436010,436010,436010,436010,436010,,Secretaries and Administrative Assistants
,,,,,,,5710,,,,,,,436011,Executive Secretaries And Executive Administrative Assistants
,,,,,,,5720,,,,,,,436012,Legal Secretaries And Administrative Assistants
,,,,,,,5730,,,,,,,436013,Medical Secretaries And Administrative Assistants
,,,,,,,5740,,,,,,,436014,"Secretaries And Administrative, Except Legal, Medical, And Executive"
,580,580,5800,5800,5800,5800,,439011,439011,439011,439011,439011,439011,,Computer Operators
,581,581,5810,5810,5810,5810,5810,439021,439021,439021,439021,439021,439021,439021,Data Entry Keyers
,582,582,5820,5820,5820,5820,5820,439022,439022,439022,439022,439022,439022,439022,Word Processors and Typists
,583,583,5830,,,,,439031,439031,439031,,,,,Desktop Publishers
,584,584,5840,5840,5840,5840,5840,439041,439041,439041,439041,439041,439041,439041,Insurance Claims and Policy Processing Clerks
,585,585,5850,5850,5850,5850,5850,439051,439051,439051,439051,439051,439051,439051,"Mail Clerks and Mail Machine Operators, Except Postal Service"
,586,586,5860,5860,5860,5860,5860,439061,439061,439061,439061,439061,439061,439061,"Office Clerks, General"
,590,590,5900,5900,5900,5900,5900,439071,439071,439071,439071,439071,439071,439071,"Office Machine Operators, Except Computer"
,591,591,5910,5910,5910,5910,5910,439081,439081,439081,439081,439081,439081,439081,Proofreaders and Copy Markers
,592,592,5920,5920,5920,5920,5920,439111,439111,439111,439111,439111,439111,439111,Statistical Assistants
,593,593,5930,,,,,439199,439199,439199,,,,,"Office and Administrative Support Workers, All Other"
,,,,5930,,,,,,,439XXX,,,,Miscellaneous office and administrative support workers including desktop publishers
,,,,,5940,5940,,,,,,439XXX,439XXX,,Miscellaneous office and administrative support workers including desktop publishers
,,,,,,,5940,,,,,,,439XXX,Other Office And Administrative Support Workers
"NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS:",,,,,,,,,,,,,,,
"Farming, Fishing, and Forestry Occupations:",,,,,,,,,,,,,,,
,600,600,6000,6000,,,,451010,451010,451010,451010,,,,"First-Line Supervisors/Managers/Contractors of Farming, Fishing, and Forestry Workers"
,,,,,6005,6005,6005,,,,,451011,451011,451011,"First-Line Supervisors of farming, fishing, and forestry workers"
,601,601,6010,6010,6010,6010,6010,452011,452011,452011,452011,452011,452011,452011,Agricultural Inspectors
,602,,6020,,,,,452021,,452021,,,,,Animal Breeders
,604,604,6040,6040,6040,6040,6040,452041,452041,452041,452041,452041,452041,452041,"Graders and Sorters, Agricultural Products"
,605,,6050,,,,,452090,,452090,,,,,Miscellaneous agricultural workers
,,605,,6050,6050,6050,,,4520XX,,4520XX,4520XX,4520XX,,Miscellaneous agricultural workers including animal breeders
,,,,,,,6050,,,,,,,4520XX,Other Agricultural Workers
,610,610,6100,,,,,453011,,453011,,,,,Fishers and Related Fishing Workers
,,,,6100,6100,6100,,,453000,,453000,453000,453000,,Fishing And Hunting Workers
,611,,6110,,,,,453021,,453021,,,,,Hunters and Trappers
,,,,,,,6115,,,,,,,453031,Fishing And Hunting Workers
,612,612,6120,6120,6120,6120,6120,454011,454011,454011,454011,454011,454011,454011,Forest and Conservation Workers
,613,613,6130,6130,6130,6130,6130,454020,454020,454020,454020,454020,454020,454020,Logging Workers
Construction and Extraction Occupations:,,,,,,,,,,,,,,,
,620,620,6200,6200,6200,6200,6200,471011,471011,471011,471011,471011,471011,471011,First-Line Supervisors of Construction Trades and Extraction Workers
,621,621,6210,6210,6210,6210,6210,472011,472011,472011,472011,472011,472011,472011,Boilermakers
,622,622,6220,6220,6220,,,472020,472020,472020,472020,472020,,,"Brickmasons, Blockmasons, and Stonemasons"
,,,,,,6220,6220,,,,,,472XXX,472XXX,"Brickmasons, Blockmasons, Stonemasons, and Reinforcing Iron and Rebar Workers"
,623,623,6230,6230,6230,6230,6230,472031,472031,472031,472031,472031,472031,472031,Carpenters
,624,624,6240,6240,6240,6240,6240,472040,472040,472040,472040,472040,472040,472040,"Carpet, Floor, and Tile Installers and Finishers"
,625,625,6250,6250,6250,6250,6250,472050,472050,472050,472050,472050,472050,472050,"Cement Masons, Concrete Finishers, and Terrazzo Workers"
,626,626,6260,6260,6260,6260,6260,472061,472061,472061,472061,472061,472061,472061,Construction Laborers
,,,,,,,6305,,,,,,,472070,Construction Equipment Operators
,630,630,6300,6300,6300,6300,,472071,472071,472071,472071,472071,472071,,"Paving, Surfacing, and Tamping Equipment Operators"
,631,,6310,,,,,472072,,472072,,,,,Pile-Driver Operators
,632,,6320,,,,,472073,,472073,,,,,Operating Engineers and Other Construction Equipment Operators
,,632,,6320,6320,6320,,,47207X,,47207X,47207X,47207X,,"Construction equipment operators except paving, surfacing, and tamping equipment operators"
,633,633,6330,6330,6330,6330,6330,472080,472080,472080,472080,472080,472080,472080,"Drywall Installers, Ceiling Tile Installers, and Tapers"
,635,635,6350,6350,6355,6355,6355,472111,472111,472111,472111,472111,472111,472111,Electricians
,636,636,6360,6360,6360,6360,6360,472121,472121,472121,472121,472121,472121,472121,Glaziers
,640,640,6400,6400,6400,6400,6400,472130,472130,472130,472130,472130,472130,472130,Insulation Workers
,642,642,6420,6420,6420,,,472141,472141,472141,472141,472141,,,"Painters, Construction and Maintenance"
,,,,,,6420,,,,,,,472140,,Painters and Paperhangers
,,,,,,,6410,,,,,,,472140,Painters and Paperhangers
,643,643,6430,6430,6430,,,472142,472142,472142,472142,472142,,,Paperhangers
,644,644,6440,6440,6440,6440,,472150,472150,472150,472150,472150,472150,,"Pipelayers, Plumbers, Pipefitters, and Steamfitters"
,,,,,,,6441,,,,,,,472151,Pipelayers
