,2000 1% Census OCC code,2000 5% Census OCC code,2000-2004 ACS OCC code,2005-2009 ACS/PRCS OCC code,2010-2012 ACS/PRCS OCC code,2013-2017 ACS/PRCS OCC code,2018 ACS/PRCS OCC code,2000 1% Census OCCSOC code,2000 5% Census OCCSOC code,2000-2004 ACS OCCSOC code,2005-2009 ACS/PRCS OCCSOC code,2010-2012 ACS/PRCS OCCSOC,2013-2017 ACS/PRCS OCCSOC code,2018 Onward ACS/PRCS,Occupation title
,,,,,,,6442,,,,,,,472152,"Plumbers, Pipefitters, And Steamfitters"
,646,646,6460,6460,6460,6460,6460,472161,472161,472161,472161,472161,472161,472161,Plasterers and Stucco Masons
,650,,6500,6500,6500,,,472171,,472171,472171,472171,,,Reinforcing Iron and Rebar Workers
,651,651,6510,6510,,,,472181,472181,472181,472181,,,,Roofers
,,,,,6515,6515,6515,,,,,472181,472181,472181,Roofers
,652,652,6520,6520,6520,6520,6520,472211,472211,472211,472211,472211,472211,472211,Sheet Metal Workers
,653,653,6530,6530,6530,6530,6530,472221,472XXX,472221,472221,472221,472221,472221,Structural Iron and Steel Workers
,,,,,,,6540,,,,,,,472231,Solar Photovoltaic Installers
,660,660,6600,6600,6600,6600,6600,473010,473010,473010,473010,473010,473010,473010,"Helpers, Construction Trades"
,666,666,6660,6660,6660,6660,6660,474011,474011,474011,474011,474011,474011,474011,Construction and Building Inspectors
,670,670,6700,6700,6700,6700,6700,474021,474021,474021,474021,474021,474021,474021,Elevator Installers and Repairers
,671,671,6710,6710,6710,6710,6710,474031,474031,474031,474031,474031,474031,474031,Fence Erectors
,672,672,6720,6720,6720,6720,6720,474041,474041,474041,474041,474041,474041,474041,Hazardous Materials Removal Workers
,673,673,6730,6730,6730,6730,6730,474051,474051,474051,474051,474051,474051,474051,Highway Maintenance Workers
,674,674,6740,6740,6740,6740,6740,474061,474061,474061,474061,474061,474061,474061,Rail-Track Laying and Maintenance Equipment Operators
,675,675,6750,,,,,474071,474071,474071,,,,,Septic Tank Servicers and Sewer Pipe Cleaners
,676,676,6760,,,,,474090,474090,474090,,,,,Miscellaneous Construction and Related Workers
,,,,6760,,,,,,,4740XX,,,,Miscellaneous construction workers including septic tank servicers and sewer pipe cleaners
,,,,,6765,6765,,,,,,47XXXX,47XXXX,,"Miscellaneous construction workers including solar Photovaltaic Installers, and septic tank servicers and sewer pipe cleaners"
,,,,,,,6765,,,,,,,4740XX,Other Construction And Related Workers
,680,,6800,,,,,475010,,475010,,,,,"Derrick, Rotary Drill, and Service Unit Operators, Oil, Gas, and Mining"
,,680,,6800,6800,6800,6800,,4750YY,,4750YY,4750YY,4750YY,4750YY,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining"
,682,682,6820,6820,6820,6820,,475021,475021,475021,475021,475021,475021,,"Earth Drillers, Except Oil and Gas"
,,,,,,,6825,,,,,,,475020,Surface Mining Machine Operators And Earth Drillers
,683,683,6830,6830,6830,6830,,475031,475031,475031,475031,475031,475031,,"Explosives Workers, Ordnance Handling Experts, and Blasters"
,,,,,,,6835,,,,,,,475032,"Explosives Workers, Ordnance Handling Experts, And Blasters"
,684,684,6840,6840,6840,6840,,475040,475040,475040,475040,475040,475040,,Mining Machine Operators
,,,,,,,6850,,,,,,,475040,Underground Mining Machine Operators
,691,,6910,,,,,475061,,475061,,,,,"Roof Bolters, Mining"
,692,,6920,,,,,475071,,475071,,,,,"Roustabouts, Oil and Gas"
,693,,6930,,,,,475081,,475081,,,,,Helpers--Extraction Workers
,,,6940,,,,,4750XX,,4750XX,,,,,Other extraction workers
,694,,,6940,6940,6940,,,-,,4750XX,4750XX,4750XX,,Miscellaneous extraction workers including roof bolters and helpers
,,694,,,,,6950,,4750XX,,,,,4750XX,Other extraction workers
"Installation, Maintenance, and Repair Occupations:",,,,,,,,,,,,,,,
,700,700,7000,7000,7000,7000,7000,491011,491011,491011,491011,491011,491011,491011,"First-Line Supervisors of Mechanics, Installers, and Repairers"
,701,701,7010,7010,7010,7010,7010,492011,492011,492011,492011,492011,492011,492011,"Computer, Automated Teller, and Office Machine Repairers"
,702,702,7020,7020,7020,7020,7020,492020,492020,492020,492020,492020,492020,492020,Radio and Telecommunications Equipment Installers and Repairers
,703,703,7030,7030,7030,7030,7030,492091,492091,492091,492091,492091,492091,492091,Avionics Technicians
,704,704,7040,7040,7040,7040,7040,492092,492092,492092,492092,492092,492092,492092,"Electric Motor, Power Tool, and Related Repairers"
,705,,7050,,,,,492093,,492093,,,,,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
,710,,7100,,,,,49209X,,49209X,,,,,"Electrical and electronics repairers, industrial and utility"
,,710,,7100,7100,7100,,,49209X,,49209X,49209X,49209X,,"Electrical and electronics repairers, transportation equipment, and industrial and utility"
,,,,,,,7100,,,,,,,49209X,"Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers"
,711,711,7110,7110,7110,7110,,492096,492096,492096,492096,492096,492096,,"Electronic Equipment Installers and Repairers, Motor Vehicles"
,712,712,7120,7120,7120,7120,7120,492097,492097,492097,492097,492097,492097,492097,Electronic Home Entertainment Equipment Installers and Repairers
,713,713,7130,7130,7130,7130,7130,492098,492098,492098,492098,492098,492098,492098,Security and Fire Alarm Systems Installers
,714,714,7140,7140,7140,7140,7140,493011,493011,493011,493011,493011,493011,493011,Aircraft Mechanics and Service Technicians
,715,715,7150,7150,7150,7150,7150,493021,493021,493021,493021,493021,493021,493021,Automotive Body and Related Repairers
,716,716,7160,7160,7160,7160,7160,493022,493022,493022,493022,493022,493022,493022,Automotive Glass Installers and Repairers
,720,720,7200,7200,7200,7200,7200,493023,493023,493023,493023,493023,493023,493023,Automotive Service Technicians and Mechanics
,721,721,7210,7210,7210,7210,7210,493031,493031,493031,493031,493031,493031,493031,Bus and Truck Mechanics and Diesel Engine Specialists
,722,722,7220,7220,7220,7220,7220,493040,493040,493040,493040,493040,493040,493040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics
,724,724,7240,7240,7240,7240,7240,493050,493050,493050,493050,493050,493050,493050,Small Engine Mechanics
,726,726,7260,7260,7260,7260,7260,493090,493090,493090,493090,493090,493090,493090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers"
,730,730,7300,7300,7300,7300,7300,499010,499010,499010,499010,499010,499010,499010,Control and Valve Installers and Repairers
,731,731,7310,7310,7315,7315,7315,499021,499021,499021,499021,499021,499021,499021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
,732,732,7320,7320,7320,7320,7320,499031,499031,499031,499031,499031,499031,499031,Home Appliance Repairers
,733,733,7330,7330,7330,7330,7330,49904X,49904X,49904X,49904X,49904X,49904X,49904X,Industrial and Refractory Machinery Mechanic
,734,734,7340,7340,,,,499042,499042,499042,499042,,,,"Maintenance and Repair Workers, General"
,,,,,7340,7340,7340,,,,,499071,499071,499071,"Maintenance and Repair Workers, General"
,735,735,7350,7350,7350,7350,7350,499043,499043,499043,499043,499043,499043,499043,"Maintenance Workers, Machinery"
,736,736,7360,7360,7360,7360,7360,499044,499044,499044,499044,499044,499044,499044,Millwrights
,741,741,7410,7410,7410,7410,7410,499051,499051,499051,499051,499051,499051,499051,Electrical Power-Line Installers and Repairers
,742,742,7420,7420,7420,7420,7420,499052,499052,499052,499052,499052,499052,499052,Telecommunications Line Installers and Repairers
,743,743,7430,7430,7430,7430,7430,499060,499060,499060,499060,499060,499060,499060,Precision Instrument and Equipment Repairers
,751,751,7510,7510,7510,7510,7510,499091,499091,499091,499091,499091,499091,499091,"Coin, Vending, and Amusement Machine Servicers and Repairers"
,752,,7520,,,,,499092,,499092,,,,,Commercial Divers
,754,754,7540,7540,7540,7540,7540,499094,499094,499094,499094,499094,499094,499094,Locksmiths and Safe Repairers
,755,755,7550,7550,7550,,,499095,499095,499095,499095,499095,,,Manufactured Building and Mobile Home Installers
,756,756,7560,7560,7560,7560,7560,499096,499096,499096,499096,499096,499096,499096,Riggers
,760,,7600,,,,,499097,,499097,,,,,Signal and Track Switch Repairers
,761,761,7610,7610,7610,7610,7610,499098,499098,499098,499098,499098,499098,499098,"Helpers--Installation, Maintenance, and Repair Workers"
,762,,7620,,,,,49909X,,49909X,,,,,"Other Installation, Maintenance, and Repair Workers"
,,762,,7620,,,,,49909X,,49909X,,,,"Other installation, maintenance, and repair workers including commercial divers, and signal and track switch repairers"
,,,,,7630,,,,,,,49909X,,,"Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers"
,,,,,,7630,,,,,,,4990XX,,"Miscellaneous Installation, Maintenance, and Repair Workers, Including, Wind Turbine Service Technicians"
,,,,,,,7640,,,,,,,4990XX,"Other Installation, Maintenance, And Repair Workers"
"PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS:",,,,,,,,,,,,,,,
Production Occupations:,,,,,,,,,,,,,,,
,770,770,7700,7700,7700,7700,7700,511011,511011,511011,511011,511011,511011,511011,First-Line Supervisors of Production and Operating Workers
,771,771,7710,7710,7710,7710,,512011,512011,512011,512011,512011,512011,,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
,772,772,7720,7720,7720,7720,7720,512020,512020,512020,512020,512020,512020,512020,"Electrical, Electronics, and Electromechanical Assemblers"
,773,773,7730,7730,7730,7730,7730,512031,512031,512031,512031,512031,512031,512031,Engine and Other Machine Assemblers
,774,774,7740,7740,7740,7740,7740,512041,512041,512041,512041,512041,512041,512041,Structural Metal Fabricators and Fitters
,775,775,7750,7750,7750,7750,,512090,512090,512090,512090,512090,512090,,Miscellaneous Assemblers and Fabricators
,,,,,,,7750,,,,,,,5120XX,Other Assemblers and Fabricators
,780,780,7800,7800,7800,7800,7800,513011,513011,513011,513011,513011,513011,513011,Bakers
,781,781,7810,7810,7810,7810,7810,513020,513020,513020,513020,513020,513020,513020,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
,783,783,7830,7830,7830,7830,7830,513091,513091,513091,513091,513091,513091,513091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
,784,784,7840,7840,7840,7840,7840,513092,513092,513092,513092,513092,513092,513092,Food Batchmakers
,785,785,7850,7850,7850,7850,7850,513093,513093,513093,513093,513093,513093,513093,Food Cooking Machine Operators and Tenders
,,,,,7855,7855,7855,,,,,513099,513099,513099,"Food Processing Workers, AllOther"
,790,790,7900,7900,7900,7900,,514010,514010,514010,514010,514010,514010,,Computer Control Programmers and Operators
,,,,,,,790,,,,,,,519160,Computer Numerically Controlled Tool Operators And Programmers
,,,,,,,7925,,,,,,,514020,"Forming Machine Setters, Operators, And Tenders, Metal And Plastic"
,792,792,7920,7920,7920,7920,,514021,514021,514021,514021,514021,514021,,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
,793,793,7930,7930,7930,7930,,514022,514022,514022,514022,514022,514022,,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
,794,794,7940,7940,7940,7940,,514023,514023,514023,514023,514023,514023,,"Rolling Machine Setters, Operators, and Tenders, metal and Plastic"
,,,,,,7950,,,,,,,514030,,"Machine Tool Cutting setters, Operators, and Tenders, Metal and Plastic"
,795,795,7950,7950,7950,,7950,514031,514031,514031,514031,514031,,514031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
,796,796,7960,7960,7960,,,514032,514032,514032,514032,514032,,,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
,800,800,8000,8000,8000,,8000,514033,514033,514033,514033,514033,,514033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
,801,801,8010,8010,8010,,,514034,514034,514034,514034,514034,,,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
,802,,8020,,,,,514035,,514035,,,,,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
,,,,,,,8025,,,,,,,51403X,"Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic"
,803,803,8030,8030,8030,8030,8030,514041,514041,514041,514041,514041,514041,514041,Machinists
,804,804,8040,8040,8040,8040,8040,514050,514050,514050,514050,514050,514050,514050,"Metal Furnace Operators, Tenders, Pourers, and Casters"
,806,806,8060,8060,8060,,,514060,514060,514060,514060,514060,,,"Model Makers and Patternmakers, Metal and Plastic"
,810,810,8100,8100,8100,,,514070,514070,514070,514070,514070,,,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
,,,,,,8100,8100,,,,,,5140XX,5140XX,"Model Makers, Patternmakers, and Molding Machine Setters, Metal and Plastic"
,812,,8120,,,,,514081,,514081,,,,,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
,813,813,8130,8130,8130,8130,8130,514111,514111,514111,514111,514111,514111,514111,Tool and Die Makers
,814,814,8140,8140,8140,8140,8140,514120,514120,514120,514120,514120,514120,514120,"Welding, Soldering, and Brazing Workers"
,815,815,8150,8150,8150,,,514191,514191,514191,514191,514191,,,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
,816,816,8160,,,,,514192,514192,514192,,,,,"Layout Workers, Metal and Plastic"
,820,820,8200,8200,8200,,,514193,514193,514193,514193,514193,,,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
,821,821,8210,8210,8210,,,514194,514194,514194,514194,514194,,,"Tool Grinders, Filers, and Sharpeners"
,822,,8220,,,,,514199,,514199,,,,,"Metal Workers and Plastic Workers, All Other"
,,,,8220,8220,,,,,,514XXX,514XXX,,,"Miscellaneous metal workers and plastic workers including milling and planing machine setters, and multiple machine tool setters, and lay-out workers"
,,,,,,8220,,,,,,,514XXX,,"Miscellaneous Metal Workers and Plastic Workers, Including Multiple Machine Tool Setters"
,,822,,,,,8225,,514XXX,,,,,514XXX,Other Metal Workers And Plastic Workers
,823,823,8230,8230,,,,515010,515010,515010,515010,,,,Bookbinders and Bindery Workers
,824,824,8240,8240,,,,515021,515021,515021,515021,,,,Job Printers
,825,825,8250,8250,,,,515022,515022,515022,515022,,,,Prepress Technicians and Workers
,,,,,8250,8250,8250,,,,,515111,515111,515111,Prepress Technicians and Workers
,826,826,8260,8260,,,,515023,515023,515023,515023,,,,Printing Machine Operators
,,,,,8255,8255,8255,,,,,515112,515112,515112,Printing Press Operators
,,,,,8256,8256,8256,,,,,515113,515113,515113,Print Binding and Finishing Workers
,830,830,8300,8300,8300,8300,8300,516011,516011,516011,516011,516011,516011,516011,Laundry and Dry-Cleaning Workers
,831,831,8310,8310,8310,8310,8310,516021,516021,516021,516021,516021,516021,516021,"Pressers, Textile, Garment, and Related Materials"
,832,832,8320,8320,8320,8320,8320,516031,516031,516031,516031,516031,516031,516031,Sewing Machine Operators
,833,833,8330,8330,8330,,,516041,516041,516041,516041,516041,,,Shoe and Leather Workers and Repairers
,,,,,,8330,,,,,,,516040,,Shoe and Leather Workers
,,,,,,,8335,,,,,,,516040,Shoe and Leather Workers
,834,834,8340,8340,8340,,,516042,516042,516042,516042,516042,,,Shoe Machine Operators and Tenders
,835,835,8350,8350,8350,8350,8350,516050,516050,516050,516050,516050,516050,516050,"Tailors, Dressmakers, and Sewers"
,,,,,,,8365,,,,,,,516060,"Textile Machine Setters, Operators, And Tenders"
,836,836,8360,,,,,516061,516061,516061,,,,,Textile Bleaching and Dyeing Machine Operators and Tenders
,840,840,8400,,,,,516062,516062,516062,,,,,"Textile Cutting Machine Setters, Operators, and Tenders"
,,,,8400,8400,8400,,,,,51606X,51606X,51606X,,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders"
,841,841,8410,8410,8410,8410,,516063,516063,516063,516063,516063,516063,,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
,842,842,8420,8420,8420,8420,,516064,516064,516064,516064,516064,516064,,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
,843,,8430,,,,,516091,,516091,,,,,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
,844,,8440,,,,,516092,,516092,,,,,Fabric and Apparel Patternmakers
,845,845,8450,8450,8450,8450,8450,516093,516093,516093,516093,516093,516093,516093,Upholsterers
,846,,8460,,,,,516099,,516099,,,,,"Textile, Apparel, and Furnishings Workers, All Other"
,,846,,8460,8460,8460,,,51609X,,51609X,51609X,51609X,,"Miscellaneous textile, apparel, and furnishings workers except upholsterers"
,,,,,,,8465,,,,,,,51609X,"Other Textile, Apparel, And Furnishings Workers"
,850,850,8500,8500,8500,8500,8500,517011,517011,517011,517011,517011,517011,517011,Cabinetmakers and Bench Carpenters
,851,851,8510,8510,8510,8510,8510,517021,517021,517021,517021,517021,517021,517021,Furniture Finishers
,852,,8520,,,,,517030,,517030,,,,,"Model Makers and Patternmakers, Wood"
,853,853,8530,8530,8530,8530,8530,517041,517041,517041,517041,517041,517041,517041,"Sawing Machine Setters, Operators, and Tenders, Wood"
,854,854,8540,8540,8540,8540,8540,517042,517042,517042,517042,517042,517042,517042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
,855,,8550,,,,,517099,,517099,,,,,"Woodworkers, All Other"
,,855,,8550,8550,8550,,,5170XX,,5170XX,5170XX,5170XX,,Miscellaneous woodworkers including model makers and patternmakers
,,,,,,,8555,,,,,,,5170XX,Other Woodworkers
,860,860,8600,8600,8600,8600,8600,518010,518010,518010,518010,518010,518010,518010,"Power Plant Operators, Distributors, and Dispatchers"
,861,861,8610,8610,8610,8610,8610,518021,518021,518021,518021,518021,518021,518021,Stationary Engineers and Boiler Operators
,862,862,8620,8620,8620,8620,8620,518031,518031,518031,518031,518031,518031,518031,Water and Wastewater Treatment Plant and System Operators
,863,863,8630,8630,8630,8630,8630,518090,518090,518090,518090,518090,518090,518090,Miscellaneous Plant and System Operators
,864,864,8640,8640,8640,8640,8640,519010,519010,519010,519010,519010,519010,519010,"Chemical Processing Machine Setters, Operators, and Tenders"
,865,865,8650,8650,8650,8650,8650,519020,519020,519020,519020,519020,519020,519020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
,871,871,8710,8710,8710,8710,8710,519030,519030,519030,519030,519030,519030,519030,Cutting Workers
,872,872,8720,8720,8720,8720,8720,519041,519041,519041,519041,519041,519041,519041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
,873,873,8730,8730,8730,8730,8730,519051,519051,519051,519051,519051,519051,519051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
,874,874,8740,8740,8740,8740,8740,519061,519061,519061,519061,519061,519061,519061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
,875,875,8750,8750,8750,8750,8750,519071,519071,519071,519071,519071,519071,519071,Jewelers and Precious Stone and Metal Workers
,876,876,8760,8760,8760,8760,8760,519080,519080,519080,519080,519080,519080,519080,"Medical, Dental, and Ophthalmic Laboratory Technicians"
,880,880,8800,8800,8800,8800,8800,519111,519111,519111,519111,519111,519111,519111,Packaging and Filling Machine Operators and Tenders
,881,881,8810,8810,8810,8810,8810,519120,519120,519120,519120,519120,519120,519120,Painting Workers
,883,883,8830,8830,8830,8830,8830,519130,519130,519130,519130,519151,519151,519151,Photographic Process Workers and Processing Machine Operators
,884,,8840,,,,,519141,,519141,,,,,Semiconductor Processors
,885,885,8850,8850,,,,519191,519191,519191,519191,,,,Cementing and Gluing Machine Operators and Tenders
,,,,,8850,8850,8850,,,,,519191,519191,519191,Adhesive Bonding Machine Operators and Tenders
,886,886,8860,8860,8860,,,519192,519192,519192,519192,519192,,,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
,890,,8900,,,,,519193,,519193,,,,,Cooling and Freezing Equipment Operators and Tenders
,891,891,8910,8910,8910,8910,8910,519194,519194,519194,519194,519194,519194,519194,Etchers and Engravers
,892,892,8920,8920,8920,8920,8920,519195,519195,519195,519195,519195,519195,519195,"Molders, Shapers, and Casters, Except Metal and Plastic"
,893,893,8930,8930,8930,8930,8930,519196,519196,519196,519196,519196,519196,519196,"Paper Goods Machine Setters, Operators, and Tenders"
,894,894,8940,8940,8940,8940,8940,519197,519197,519197,519197,519197,519197,519197,Tire Builders
,895,895,8950,8950,8950,8950,8950,519198,519198,519198,519198,519198,519198,519198,Helpers--Production Workers
,896,,8960,,,,,519199,,519199,,,,,"Production Workers, All Other"
,,896,,8960,,,,,5191XX,,5191XX,,,,Other production workers including semiconductor processors and cooling and freezing equipment operators
,,,,,8965,8965,,,,,,5191XX,5191XX,,"Micellaneous Production Workers, Including Semiconductor Processors"
,,,,,,,8990,,,,,,,5191XX,"Miscellaneous Production Workers, Including Equipment Operators and Tenders"
Transportation Occupations:,,,,,,,,,,,,,,,
,900,900,9000,9000,9000,9000,,531000,531000,531000,531000,531000,531000,,Supervisors of Transportation and Material Moving Workers
,,,,,,,9005,,,,,,,531000,Supervisors of Transportation and Material Moving Workers
,903,903,9030,9030,9030,9030,9030,532010,532010,532010,532010,532010,532010,532010,Aircraft Pilots and Flight Engineers
,904,904,9040,9040,9040,9040,9040,532020,532020,532020,532020,532020,532020,532020,Air Traffic Controllers and Airfield Operations Specialists
,,,,,9050,9050,9051,,,,,532031,532031,532031,Flight Attendants
,911,,,9110,9110,9110,9110,533011,,,533011,533011,533011,533011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
,912,912,9120,9120,9120,9120,,533020,533020,533020,533020,533020,533020,,Bus Drivers
,,,,,,,9121,,,,,,,533051,"Bus Drivers, School"
,,,,,,,9122,,,,,,,533052,"Bus Drivers, Transit And Intercity"
,913,913,9130,9130,9130,9130,9130,533030,533030,533030,533030,533030,533030,533030,Driver/Sales Workers and Truck Drivers
,914,914,9140,9140,9140,9140,,533041,533041,533041,533041,533041,533041,,Taxi Drivers and Chauffeurs
,,,,,,,9141,,,,,,,533053,Shuttle Drivers and Chauffeurs
,,,,,,,9142,,,,,,,533054,Taxi Drivers
,915,915,9150,9150,9150,9150,9150,533099,5330XX,533099,533099,533099,533099,533099,"Motor Vehicle Operators, All Other"
,920,920,9200,9200,9200,9200,,534010,534010,534010,534010,534010,534010,,Locomotive Engineers and Operators
,,,,,,,9210,,,,,,,534010,Locomotive Engineers and Operators
,923,923,9230,9230,9230,,,534021,534021,534021,534021,534021,,,"Railroad Brake, Signal, and Switch Operators"
,924,924,9240,9240,9240,9240,9240,534031,534031,534031,534031,534031,534031,534031,Railroad Conductors and Yardmasters
,926,926,9260,9260,9260,9260,,5340XX,5340XX,5340XX,5340XX,5340XX,5340XX,,"Subway, Streetcar, and Other Rail Transportation Workers"
,,,,,,,9265,,,,,,,5340XX,Other Rail Transportation Workers
,930,930,9300,,,,,535011,535011,535011,,,,,Sailors and Marine Oilers
,,,,9300,9300,9300,9300,,,,5350XX,5350XX,5350XX,5350XX,"Sailors and marine oilers, and ship engineers"
,931,931,9310,9310,9310,9310,9310,535020,535020,535020,535020,535020,535020,535020,Ship and Boat Captains and Operators
,933,933,9330,,,,,535031,535031,535031,,,,,Ship Engineers
,934,,9340,,,,,536011,,536011,,,,,Bridge and Lock Tenders
,935,935,9350,9350,9350,9350,9350,536021,536021,536021,536021,536021,536021,536021,Parking Lot Attendants
,936,936,9360,9360,,,,536031,536031,536031,536031,,,,Service Station Attendants
,,,,,9360,9360,,,,,,536031,536031,,Automotive and Watercraft Service Attendants
,,,,,,,9365,,,,,,,536030,Transportation Service Attendants
,941,941,9410,9410,9410,9410,9410,536051,536051,536051,536051,536051,536051,536051,Transportation Inspectors
,,,,,9415,9415,,,,,,536061,536061,,"Transportation Attendants, Except Flight Attendants"
,,,,,,,9415,,,,,,,536061,Passenger Attendants
,942,,9420,,,,,5360XX,,5360XX,,,,,Other transportation workers
,,942,,9420,9420,9420,,,5360XX,,5360XX,5360XX,5360XX,,Miscellaneous transportation workers including bridge and lock tenders and traffic technicians
,,,,,,,9430,,,,,,,5360XX,Other transportation workers
Material Moving Occupations:,,,,,,,,,,,,,,,
,950,,9500,,,,,537011,,537011,,,,,Conveyor Operators and Tenders
,951,951,9510,9510,9510,9510,9510,537021,537021,537021,537021,537021,537021,537021,Crane and Tower Operators
,952,952,9520,9520,9520,9520,,537030,537030,537030,537030,537030,537030,,"Dredge, Excavating, and Loading Machine Operators"
,956,956,9560,,,,,537041,537041,537041,,,,,Hoist and Winch Operators
,,,,9560,9560,9560,,,,,5370XX,5370XX,5370XX,,"Conveyor operators and tenders, and hoist and winch operators"
,,,,,,,9570,,,,,,,5370XX,"Conveyor, Dredge, And Hoist And Winch Operators"
,960,960,9600,9600,9600,9600,9600,537051,537051,537051,537051,537051,537051,537051,Industrial Truck and Tractor Operators
,961,961,9610,9610,9610,9610,9610,537061,537061,537061,537061,537061,537061,537061,Cleaners of Vehicles and Equipment
,962,962,9620,9620,9620,9620,9620,537062,537062,537062,537062,537062,537062,537062,"Laborers and Freight, Stock, and Material Movers, Hand"
,963,963,9630,9630,9630,9630,9630,537063,537063,537063,537063,537063,537063,537063,Machine Feeders and Offbearers
,964,964,9640,9640,9640,9640,9640,537064,537064,537064,537064,537064,537064,537064,"Packers and Packagers, Hand"
,,,,,,,9645,,,,,,,537065,Stockers And Order Fillers
,965,965,9650,9650,9650,9650,9650,537070,537070,537070,537070,537070,537070,537070,Pumping Station Operators
,972,972,9720,9720,9720,9720,9720,537081,537081,537081,537081,537081,537081,537081,Refuse and Recyclable Material Collectors
,973,,9730,,,,,537111,,537111,,,,,Shuttle Car Operators
,974,,9740,,,,,537121,,537121,,,,,"Tank Car, Truck, and Ship Loaders"
,975,,9750,,,,,537199,,537199,,,,,"Material Moving Workers, All Other"
,,975,,9750,9750,9750,,,537XXX,,5371XX,5371XX,5371XX,,"Miscellaneous material moving workers including shuttle car operators, and tank car, truck, and ship loaders"
,,,,,,,9760,,,,,,,5371XX,Other Material Moving Workers
Military Specific Occupations:,,,,,,,,,,,,,,,
,980,980,9800,9800,9800,9800,9800,551000,551010,551010,551010,551010,551010,551010,Military Officer Special and Tactical Operations Leaders
,981,981,9810,9810,9810,9810,9810,552000,552010,552010,552010,552010,552010,552010,First-Line Enlisted Military Supervisors
,982,982,9820,9820,9820,9820,9820,553000,553010,553010,553010,553010,553010,553010,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
,983,983,9830,9830,9830,9830,9830,559830,559830,559830,559830,559830,559830,559830,"Military, Rank Not Specified"
Unemployed:,,,,,,,,,,,,,,,
,992,992,9920,9920,9920,9920,9920,559920,559920,999920,999920,999920,999920,999920,"Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked"
